>>> start to training
MP-T Epoch [1/1000], Loss: 3.3579, running time: 0:01:27.8
MP-T Epoch [2/1000], Loss: 3.3624, running time: 0:00:26.7
MP-T Epoch [3/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [4/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [5/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [6/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [7/1000], Loss: 3.4647, running time: 0:00:26.5
MP-T Epoch [8/1000], Loss: 3.4647, running time: 0:00:27.1
MP-T Epoch [9/1000], Loss: 3.4647, running time: 0:00:27.0
MP-T Epoch [10/1000], Loss: 3.4647, running time: 0:00:27.0
record checkpoint at: /exafs1/well/rittscher/users/lec468/PanoPath-Project/st-he/models/CLIP_CtxI-ViT16-224-h4_d3_CtxI-ViT16-224-h4_d3[10]2024-05-23.pth
MP-T Epoch [11/1000], Loss: 3.4647, running time: 0:00:26.6
MP-T Epoch [12/1000], Loss: 3.4647, running time: 0:00:27.1
MP-T Epoch [13/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [14/1000], Loss: 3.4647, running time: 0:00:26.2
MP-T Epoch [15/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [16/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [17/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [18/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [19/1000], Loss: 3.4647, running time: 0:00:26.4
MP-T Epoch [20/1000], Loss: 3.4647, running time: 0:00:26.5
MP-T Epoch [21/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [22/1000], Loss: 3.4647, running time: 0:00:27.0
MP-T Epoch [23/1000], Loss: 3.4647, running time: 0:00:26.6
MP-T Epoch [24/1000], Loss: 3.4647, running time: 0:00:26.6
MP-T Epoch [25/1000], Loss: 3.4647, running time: 0:00:26.4
MP-T Epoch [26/1000], Loss: 3.4647, running time: 0:00:26.6
MP-T Epoch [27/1000], Loss: 3.4647, running time: 0:00:26.2
MP-T Epoch [28/1000], Loss: 3.4647, running time: 0:00:27.0
MP-T Epoch [29/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [30/1000], Loss: 3.4647, running time: 0:00:27.1
MP-T Epoch [31/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [32/1000], Loss: 3.4647, running time: 0:00:26.6
MP-T Epoch [33/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [34/1000], Loss: 3.4647, running time: 0:00:26.4
MP-T Epoch [35/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [36/1000], Loss: 3.4647, running time: 0:00:26.5
MP-T Epoch [37/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [38/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [39/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [40/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [41/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [42/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [43/1000], Loss: 3.4647, running time: 0:00:26.4
MP-T Epoch [44/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [45/1000], Loss: 3.4647, running time: 0:00:26.6
MP-T Epoch [46/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [47/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [48/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [49/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [50/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [51/1000], Loss: 3.4647, running time: 0:00:26.4
MP-T Epoch [52/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [53/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [54/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [55/1000], Loss: 3.4647, running time: 0:00:26.6
MP-T Epoch [56/1000], Loss: 3.4647, running time: 0:00:26.3
MP-T Epoch [57/1000], Loss: 3.4647, running time: 0:00:27.0
MP-T Epoch [58/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [59/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [60/1000], Loss: 3.4647, running time: 0:00:27.0
MP-T Epoch [61/1000], Loss: 3.4647, running time: 0:00:27.1
MP-T Epoch [62/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [63/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [64/1000], Loss: 3.4647, running time: 0:00:26.5
MP-T Epoch [65/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [66/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [67/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [68/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [69/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [70/1000], Loss: 3.4647, running time: 0:00:27.0
MP-T Epoch [71/1000], Loss: 3.4647, running time: 0:00:26.5
MP-T Epoch [72/1000], Loss: 3.4647, running time: 0:00:26.4
MP-T Epoch [73/1000], Loss: 3.4647, running time: 0:00:26.3
MP-T Epoch [74/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [75/1000], Loss: 3.4647, running time: 0:00:27.0
MP-T Epoch [76/1000], Loss: 3.4647, running time: 0:00:26.4
MP-T Epoch [77/1000], Loss: 3.4647, running time: 0:00:26.5
MP-T Epoch [78/1000], Loss: 3.4647, running time: 0:00:26.6
MP-T Epoch [79/1000], Loss: 3.4647, running time: 0:00:26.4
MP-T Epoch [80/1000], Loss: 3.4647, running time: 0:00:26.6
MP-T Epoch [81/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [82/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [83/1000], Loss: 3.4647, running time: 0:00:26.5
MP-T Epoch [84/1000], Loss: 3.4647, running time: 0:00:26.6
MP-T Epoch [85/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [86/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [87/1000], Loss: 3.4647, running time: 0:00:26.5
MP-T Epoch [88/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [89/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [90/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [91/1000], Loss: 3.4647, running time: 0:00:26.7
MP-T Epoch [92/1000], Loss: 3.4647, running time: 0:00:26.6
MP-T Epoch [93/1000], Loss: 3.4647, running time: 0:00:26.3
MP-T Epoch [94/1000], Loss: 3.4647, running time: 0:00:26.6
MP-T Epoch [95/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [96/1000], Loss: 3.4647, running time: 0:00:26.3
MP-T Epoch [97/1000], Loss: 3.4647, running time: 0:00:26.8
MP-T Epoch [98/1000], Loss: 3.4647, running time: 0:00:26.3
MP-T Epoch [99/1000], Loss: 3.4647, running time: 0:00:26.9
MP-T Epoch [100/1000], Loss: 3.4647, running time: 0:00:27.0
record checkpoint at: /exafs1/well/rittscher/users/lec468/PanoPath-Project/st-he/models/CLIP_CtxI-ViT16-224-h4_d3_CtxI-ViT16-224-h4_d3[10]2024-05-23[100]2024-05-23.pth
