>>> start to training
>>> start to training
MP-T Epoch [1/4000], Loss: 5.4646, running time: 0:03:09.7
MP-T Epoch [2/4000], Loss: 4.9086, running time: 0:02:58.8
MP-T Epoch [3/4000], Loss: 4.8534, running time: 0:02:58.6
MP-T Epoch [4/4000], Loss: 4.8327, running time: 0:02:58.3
MP-T Epoch [5/4000], Loss: 4.8227, running time: 0:02:59.1
MP-T Epoch [6/4000], Loss: 4.8165, running time: 0:02:57.2
MP-T Epoch [7/4000], Loss: 4.8196, running time: 0:02:58.7
MP-T Epoch [8/4000], Loss: 4.8131, running time: 0:02:57.7
MP-T Epoch [9/4000], Loss: 4.8234, running time: 0:02:58.7
MP-T Epoch [10/4000], Loss: 4.8130, running time: 0:02:58.6
MP-T Epoch [11/4000], Loss: 4.8208, running time: 0:02:57.9
MP-T Epoch [12/4000], Loss: 4.8083, running time: 0:02:58.3
MP-T Epoch [13/4000], Loss: 4.8214, running time: 0:02:59.2
MP-T Epoch [14/4000], Loss: 4.8231, running time: 0:02:57.8
MP-T Epoch [15/4000], Loss: 4.8328, running time: 0:04:05.6
MP-T Epoch [16/4000], Loss: 4.8221, running time: 0:03:08.6
MP-T Epoch [17/4000], Loss: 4.8264, running time: 0:02:58.2
MP-T Epoch [18/4000], Loss: 4.8220, running time: 0:02:57.3
MP-T Epoch [19/4000], Loss: 4.8098, running time: 0:02:57.5
MP-T Epoch [20/4000], Loss: 4.8249, running time: 0:02:57.1
MP-T Epoch [21/4000], Loss: 4.8184, running time: 0:02:56.8
MP-T Epoch [22/4000], Loss: 4.8212, running time: 0:03:02.7
MP-T Epoch [23/4000], Loss: 4.8082, running time: 0:02:58.9
MP-T Epoch [24/4000], Loss: 4.8154, running time: 0:02:58.5
MP-T Epoch [25/4000], Loss: 4.8239, running time: 0:02:57.5
MP-T Epoch [26/4000], Loss: 4.8220, running time: 0:02:58.0
MP-T Epoch [27/4000], Loss: 4.8225, running time: 0:02:57.7
MP-T Epoch [28/4000], Loss: 4.8117, running time: 0:02:58.0
MP-T Epoch [29/4000], Loss: 4.8183, running time: 0:02:56.7
MP-T Epoch [30/4000], Loss: 4.8139, running time: 0:02:59.6
MP-T Epoch [31/4000], Loss: 4.8154, running time: 0:02:58.1
MP-T Epoch [32/4000], Loss: 4.8208, running time: 0:02:56.9
MP-T Epoch [33/4000], Loss: 4.8146, running time: 0:02:56.5
MP-T Epoch [34/4000], Loss: 4.8123, running time: 0:02:58.2
MP-T Epoch [35/4000], Loss: 4.8102, running time: 0:02:57.5
MP-T Epoch [36/4000], Loss: 4.8150, running time: 0:02:58.0
MP-T Epoch [37/4000], Loss: 4.8179, running time: 0:02:58.3
MP-T Epoch [38/4000], Loss: 4.8094, running time: 0:02:58.1
MP-T Epoch [39/4000], Loss: 4.8294, running time: 0:02:58.0
MP-T Epoch [40/4000], Loss: 4.8125, running time: 0:02:57.3
record checkpoint at: /exafs1/well/rittscher/users/lec468/PanoPath-Project/st-he/models/CLIP_CtxI-ViT16-224-h4_d3_CtxI-ViT16-224-h4_d3[40].pth
MP-T Epoch [41/4000], Loss: 4.8142, running time: 0:02:57.0
MP-T Epoch [42/4000], Loss: 4.8053, running time: 0:02:56.8
MP-T Epoch [43/4000], Loss: 4.8124, running time: 0:02:57.0
MP-T Epoch [44/4000], Loss: 4.8103, running time: 0:02:58.2
MP-T Epoch [45/4000], Loss: 4.8273, running time: 0:02:56.8
MP-T Epoch [46/4000], Loss: 4.8181, running time: 0:02:57.4
MP-T Epoch [47/4000], Loss: 4.8188, running time: 0:02:56.1
MP-T Epoch [48/4000], Loss: 4.8061, running time: 0:02:57.2
MP-T Epoch [49/4000], Loss: 4.8156, running time: 0:02:58.8
MP-T Epoch [50/4000], Loss: 4.8130, running time: 0:02:56.6
MP-T Epoch [51/4000], Loss: 4.8138, running time: 0:02:57.9
MP-T Epoch [52/4000], Loss: 4.8099, running time: 0:02:57.1
MP-T Epoch [53/4000], Loss: 4.8206, running time: 0:02:56.4
MP-T Epoch [54/4000], Loss: 4.8172, running time: 0:02:57.9
MP-T Epoch [55/4000], Loss: 4.8106, running time: 0:02:56.7
MP-T Epoch [56/4000], Loss: 4.8084, running time: 0:02:58.0
MP-T Epoch [57/4000], Loss: 4.8025, running time: 0:02:57.1
MP-T Epoch [58/4000], Loss: 4.8074, running time: 0:02:59.5
MP-T Epoch [59/4000], Loss: 4.8037, running time: 0:02:57.7
MP-T Epoch [60/4000], Loss: 4.8069, running time: 0:02:56.7
MP-T Epoch [61/4000], Loss: 4.8112, running time: 0:02:57.7
MP-T Epoch [62/4000], Loss: 4.8036, running time: 0:02:57.1
MP-T Epoch [63/4000], Loss: 4.8060, running time: 0:02:58.5
MP-T Epoch [64/4000], Loss: 4.8063, running time: 0:02:57.5
MP-T Epoch [65/4000], Loss: 4.8003, running time: 0:02:57.8
MP-T Epoch [66/4000], Loss: 4.8004, running time: 0:02:58.7
MP-T Epoch [67/4000], Loss: 4.8013, running time: 0:02:57.7
MP-T Epoch [68/4000], Loss: 4.8020, running time: 0:02:58.4
